"Product Code","Product Name",Variant,Expected,Counted
EXP01,Expiry-Pro01,Unit,,
EXP01,Expiry-Pro01,Large,,
EXP02,Expiry-Pro02,Unit,4,
EXP02,Expiry-Pro02,Large,,
NK001,Nak-001,Unit,11,
NK001,Nak-001,Case,47,
PK001,Product_Kakada_01,,29.0000,
PK002,Product_Kakada_02,,30.0000,
PK003,Product_Kakada_03,,29.0000,
PK004,Product_Kakada_04,,30.0000,
PPN01,"Plan 1",,960.0000,
PPN02,"Plan 2",,980.0000,
PPN03,"Plan 3",Unit,50,
PPN03,"Plan 3",TON,6,
PPN04,"Plan 4",Unit,,
PPN04,"Plan 4",TON,,
PS-Villa-001,Villa,,0.0000,
SNM,"Sun and Moon",Can,2,
SNM,"Sun and Moon",Case,3,
STA-N05,"Standard Nak 05",,0.0000,
TS01,"Test Stand",Can,2,
TS01,"Test Stand",Case,2,
