"Product Code","Product Name",Variant,Expected,Counted
001,"Product Apple",,200.0000,
33301,"product 1",Each,,
33301,"product 1",Case,,
33301,"product 1",Box,,
33302,"product 2",Each,,
33302,"product 2",Case,,
33302,"product 2",Box,,
33303,"product 3",Each,,
33303,"product 3",Case,,
33303,"product 3",Box,,
33304,"product 4",Each,,
33304,"product 4",Case,,
33304,"product 4",Box,,
33305,"product 5",Each,,
33305,"product 5",Case,,
33305,"product 5",Box,,
33306,"product 6",Each,,
33306,"product 6",Case,,
33306,"product 6",Box,,
33307,"product 7",Each,,
33307,"product 7",Case,,
33307,"product 7",Box,,
33308,"product 8",,0.0000,
33309,"product 9",,0.0000,
457534,asdf1,Unit,8,
457534,asdf1,Can,7,
457534,asdf1,Case,9,
45845743,asdf2,Unit,,
45845743,asdf2,Can,,
45845743,asdf2,Case,28,
4586364,asdf3,Unit,,
4586364,asdf3,Can,,
4586364,asdf3,Case,28,
"60 x 60","60 x 60",Case,63,
"60 x 60","60 x 60",Unit,1,
8852023664248,"koh-kae Coconut 230g",Can,18,
8852023664248,"koh-kae Coconut 230g",Carton,7,
A001A,A001A,,96.0000,
A123,A,Can,16,
A123,A,Case,89,
aaa,aaa,,1400.0000,
aaaa,aaaaa,,70.0000,
ABC-001,ABC,,56.0000,
abc1,abc1,,4888.0000,
abc2,abc2,,4973.0000,
ApartVila001,Apartment_vila,,249.0000,
asd-0001,"ASD 1",Can,9,
asd-0001,"ASD 1",Case,38,
asd-0002,"ASD 2",Can,2,
asd-0002,"ASD 2",Case,1,
asd-0002,"ASD 2",Unit,39,
asd-0003,"ASD 3",,971.0000,
B123,B,,1000.0000,
bbb,bbb,,1800.0000,
bottle_Barth,bottle_Barth,Can,,
bottle_Barth,bottle_Barth,Case,,
bottle_USD,bottle_USD,Can,,
bottle_USD,bottle_USD,Case,,
BP-001,Red-Pen,,960.0000,
CH001,channa_1,Unit,,
CH001,channa_1,Can,,
CH001,channa_1,Case,19,
CH002,channa_2,Unit,7,
CH002,channa_2,Can,1,
CH002,channa_2,Case,19,
CH01,CH01,,83.0000,
channamana,channamana,,993.0000,
channamana_1,channamana_1,,992.0000,
CR-0001,"Chin Roo 1",Can,22,
CR-0001,"Chin Roo 1",Case,27,
CR-0002,"Chin Roo 2",,33.0000,
CR-0003,"Chin Roo 3",Can,18,
CR-0003,"Chin Roo 3",Case,3,
CTT-0001,"Chanthy Test 0001",,99.0000,
CUP,Cup,,2.0000,
D001,Dam_01,,4447.0000,
D002,Dam_02,,1.0000,
D003,Dam_03,,0.0000,
D004,Dam_04,,0.0000,
darachan,darachan,,999.0000,
EX-001,"Expiry Pro 01",,24.0000,
EX-002,"Expiry Pro 02",Unit,1,
EX-002,"Expiry Pro 02",Can,1,
EX-002,"Expiry Pro 02",Case,5,
EX-003,"Expiry Pro 03",Unit,2,
EX-003,"Expiry Pro 03",Can,,
EX-003,"Expiry Pro 03",Case,1,
EX-004,"Expiry Pro 04",Unit,3,
EX-004,"Expiry Pro 04",Can,,
EX-004,"Expiry Pro 04",Case,,
EX-005,"Expiry Pro 05",,15.0000,
FTV1,"Twin Villa",,4.0000,
glassesKh,glasses_kh,,0.0000,
glassesKhOut,glasses_kh_out,,5.0000,
HLL,HLL,,90.0000,
HLLO,HLLO,,90.0000,
Home_vila,"Vila twin",,200.0000,
KL-0001,"Kaoly 1",,70.0000,
KL-0002,"Kaoly 2",Can,,
KL-0002,"Kaoly 2",Unit,100,
LH1-V01-01,01,,-1.0000,
LH1-V01-02,02,,-4.0000,
mmmm,mmmm,,80.0000,
mouytest,mouy-test,Case,30,
mouytest,mouy-test,Small,,
mouytest1,mouy-test1,Can,2,
mouytest1,mouy-test1,Case,,
mouytest3,mouy-test3,,0.0000,
NK001,Nak-001,Unit,3,
NK001,Nak-001,Case,341,
NK002,Nak-002,Case,519,
NK002,Nak-002,Can,4,
NK003,Nak-003,Can,6,
NK003,Nak-003,Case,13,
NK006,Nak-006,Can,9,
NK006,Nak-006,Case,7,
NK007,Nak-007,Can,,
NK007,Nak-007,Case,11,
NK008,Nak-008,Can,7,
NK008,Nak-008,Case,11,
NK009,Nak-009,Can,,
NK009,Nak-009,Case,75,
NK010,Nak-010,Can,4,
NK010,Nak-010,Case,66,
NK011,Nak-011,Can,,
NK011,Nak-011,Case,125,
NK012,Nak-012,Can,,
NK012,Nak-012,Case,250,
NK013,Nak-013,Can,,
NK013,Nak-013,Case,250,
NK014,Nak-014,Can,,
NK014,Nak-014,Case,250,
NK015,Nak-014,Can,11,
NK015,Nak-014,Case,2756,
NK016,Nak-016,Can,5,
NK016,Nak-016,Case,15,
NK017,Nak-017,Can,2,
NK017,Nak-017,Case,9,
NK018,Nak-018,KG,,
NK018,Nak-018,TON,33,
NK019,Nak-019,KG,,
NK019,Nak-019,TON,,
NK020,Nak-020,KG,,
NK020,Nak-020,TON,,
NKP001,"0.875លីត្រ ថ្នាប្រេងលេខ 914",,0.0000,
NKP002,"3.5លីត្រ ថ្នាំប្រេង លេខ 914",,0.0000,
NKP003,????????,Unit,,
NKP003,????????,Box,,
NKP003,????????,Cotton,,
NM01,"Nak Mat 01",Can,,
NM01,"Nak Mat 01",Case,10,
NM02,"Nak Mat 02",Can,7,
NM02,"Nak Mat 02",Case,24,
NM03,"Nak Mat 03",Can,2,
NM03,"Nak Mat 03",Case,32,
noodle_barth,noodle_barth,Case,,
noodle_barth,noodle_barth,Can,,
NP01,"Nak Pro 01",Small,1,
NP01,"Nak Pro 01",Large,4,
NP01C,"Nak Pro 01 C",,4.0000,
NP02,"Nak Pro 02",Can,,
NP02,"Nak Pro 02",Case,410,
NP03,"Nak Pro 03",Can,,
NP03,"Nak Pro 03",Case,6,
NP04,"Nak Pro 04",,6.0000,
oun001,Oun,Can,2,
oun001,Oun,Case,2,
P-nv,product_novarain,,205.0000,
P-v001,product_variant,Case,47,
P-v001,product_variant,Can,17,
PK001,Product_Kakada_01,,30.0000,
PK002,Product_Kakada_02,,30.0000,
PK003,Product_Kakada_03,,30.0000,
PK004,Product_Kakada_04,,30.0000,
PORO001,PORO,,30.0000,
poro1,"poro 1",,80.0000,
poro2,"poro 2",Can,4,
poro2,"poro 2",Case,4,
ProPS-001,Product-Pisey1,,1280.0000,
PS-Villa-001,Villa,,0.0000,
PSTest001,Pisey-test,,879.0000,
RN001,Rak,Unit,4,
RN001,Rak,Case,4,
RN002,Rak2,Unit,4,
RN002,Rak2,Case,4,
RP-001,Red-Pen,,960.0000,
Sand,ខ្សាច់,Unit,11,
Sand,ខ្សាច់,Case,20,
saothan,saothan,,84.0000,
saothan001,saothan,,2.0000,
SP-001,Sey-001,,176.0000,
SP-002,Sey-002,Can,6,
SP-002,Sey-002,Case,,
SP-003,Sey-003,,-10.0000,
SP-005,Sey-005,,1095.0000,
SPT-01,Sey-test1,,1189.0000,
SPT-02,Sey-test2,,990.0000,
SPT-03,Sey-test3,Can,,
SPT-03,Sey-test3,Case,999,
STA-N05,"Standard Nak 05",,0.0000,
T001,"Thearak 1",,100.0000,
T002,"Thearak 2",Can,,
T002,"Thearak 2",Case,50,
TB-0001,"Tiger Beer",,46.0000,
test1,test1,,1000.0000,
test2,test2,,2000.0000,
testing01,testing01,Unit,,
testing01,testing01,Can,,
testing01,testing01,Case,7,
test_002,"Test 2",Can,,
test_002,"Test 2",Case,100,
tesy_001,"Test 1",,80.0000,
thon_001,"Thon 1",,85.0000,
TS-0001,"Test Stock",Case,100,
TS-0001,"Test Stock",Can,,
TS01,"Test Stand",Can,2,
TS01,"Test Stand",Case,2,
TT-001,Test01,,130.0000,
tt-011,test11,,0.0000,
US-001,"Using Stock",,0.0000,
US-002,"Using Stock",,0.0000,
VILA001,"VILA PLUS",,94.5000,
yogert,Yogert_bart,,-2.0000,
yogert1,yogert_usd,,-2.0000,
Z001,Z001,,-5.0000,
Z002,Z002,,-10.0000,
zzzz,zzzz,Case,75,
zzzz,zzzz,Can,,
