Code,Price,Cost,Product Variants Separated by |
402310 ,3.5,2.4,
402311 ,3.5,2.4,
402313 ,3.5,2.4,
402314 ,3.5,2.4,
402315 ,3.5,2.4,
402316 ,3.5,2.4,
402317 ,3.5,2.4,
402318 ,5.8,4.7,
402319 ,5.8,4.7,
402321 ,8.5,7,
402322 ,8.5,7,
402324 ,8.5,7,
402325 ,8.5,7,
402326 ,8.5,7,
402327 ,8.5,7.1,
402328 ,8.5,7.2,
402329 ,12,11,
402330 ,12,11,
402332 ,0,11.9,
402333 ,0,11.9,
402335 ,0,11.9,
402336 ,0,11.9,
402337 ,0,11.9,
402338 ,0,11.9,
402339 ,0,12,
402340 ,0,16.3,
402341 ,0,16.3,
Legrand001 ,0,0.68,
Legrand002 ,0,0.95,
Legrand003 ,0,1.35,
Legrand004 ,0,2.4,
Legrand005 ,0,3.15,
Legrand006 ,0,4.2,
Legrand007 ,0,6.7,
Legrand008 ,0,8.25,
Legrand009 ,0,12.15,
