Code,Price,Cost,Product Variants Separated by |
C100-Ext-1GL ,6,5.125,
C100-Ext-5GL ,24.5,24,
C100-Int-5GL ,17.5,17,
C101-Ext-1GL ,7.5,7,
C101-Ext-5GL ,25.5,24.5,
C101-Int-1GL ,6.5,6,
C101-Int-5GL ,18.5,18,
C102-Ext-1GL ,7.5,7,
C102-Ext-5GL ,25.5,24.5,
C102-Int-1GL ,6.5,6,
C102-Int-5GL ,18.5,18,
C103-Ext-1GL ,7.5,6,
C103-Ext-5GL ,25.5,24.5,
C103-Int-1GL ,6.5,6,
C103-Int-5GL ,18.5,18,
C104-Ext-1GL ,7.5,7,
C104-Ext-5GL ,25.5,24.5,
C104-Int-1GL ,6.5,6,
C104-Int-5GL ,18.5,18,
C201-Ext-1GL ,7.5,7,
C201-Ext-5GL ,25.5,24.5,
C201-Int-1GL ,6.5,6,
C201-Int-5GL ,18.5,18,
C202-Ext-1GL ,7.5,7,
C202-Ext-5GL ,25.5,24.5,
C202-Int-1GL ,6.5,6,
C202-Int-5GL ,18.5,18,
C203-Ext-1GL ,7.5,7,
C203-Ext-5GL ,25.5,24.5,
C203-Int-1GL ,6.5,6,
C203-Int-5GL ,18.5,18,
C204-Ext-1GL ,7.5,7,
C204-Ext-5GL ,25.5,24.5,
C204-Int-1GL ,6.5,6,
C205-Ext-1GL ,8.5,8,
C205-Ext-5GL ,30.5,29.5,
C301-Ext-1GL ,7.5,7,
C301-Ext-5GL ,25.5,24.5,
C301-Int-1GL ,6.5,6,
C301-Int-5GL ,18.5,18,
C302-Ext-1GL ,7.5,7,
C302-Ext-5GL ,25.5,24.5,
C302-Int-1GL ,6.5,6,
C302-Int-5GL ,18.5,18,
C303-Ext-1GL ,7.5,7,
C303-Ext-5GL ,25.5,24.5,
C303-Int-1GL ,6.5,6,
C303-Int-5GL ,18.5,18,
C304-Ext-1GL ,8.5,8,
C304-Ext-5GL ,30.5,29.5,
C305-Ext-1GL ,8.5,8,
C305-Ext-5GL ,30.5,29.5,
C306-Ext-1GL ,8.5,8,
C306-Ext-5GL ,30.5,29.5,
C307-Ext-1GL ,8.5,8,
C307-Ext-5GL ,30.5,29.5,
C308-Ext-1GL ,8.5,8,
C308-Ext-5GL ,30.5,29.5,
C401-Ext-1GL ,7.5,7,
C401-Ext-5GL ,25.5,24.5,
C401-Int-1GL ,6.5,6,
C401-Int-5GL ,18.5,18,
C402-Ext-1GL ,8.5,8,
C402-Ext-5GL ,30.5,29.5,
C403-Ext-1GL ,7.5,7,
C403-Ext-5GL ,25.5,24.5,
C403-Int-1GL ,6.5,6,
C403-Int-5GL ,18.5,18,
C501-Ext-1GL ,7.5,7,
C501-Ext-5GL ,25.5,24.5,
C501-Int-1GL ,6.5,6,
C501-Int-5GL ,18.5,18,
C502-Ext-1GL ,7.5,7,
C502-Ext-5GL ,25.5,24.5,
C502-Int-1GL ,6.5,6,
C502-Int-5GL ,18.5,18,
C503-Ext-1GL ,7.5,7,
C503-Ext-5GL ,25.5,24.5,
C503-Int-1GL ,6.5,6,
C503-Int-5GL ,18.5,18,
C504-Ext-1GL ,8.5,7,
C504-Ext-5GL ,30.5,24.5,
C505-Ext-1GL ,8.5,8,
C505-Ext-5GL ,30.5,29.5,
C506-Ext-1GL ,8.5,8,
C506-Ext-5GL ,30.5,29.5,
C507-Ext-1GL ,8.5,8,
C507-Ext-5GL ,30.5,29.5,
C601-Ext-1GL ,7.5,7,
C601-Ext-5GL ,25.5,24.5,
C601-Int-1GL ,6.5,6,
C601-Int-5GL ,18.5,18,
C602-Ext-1GL ,7.5,7,
C602-Ext-5GL ,25.5,24.5,
C602-Int-1GL ,6.5,6,
C602-Int-5GL ,18.5,18,
C603-Ext-1GL ,8.5,8,
C603-Ext-5GL ,30.5,29.5,
C604-Ext-1GL ,7.5,7,
C604-Ext-5GL ,25.5,24.5,
C604-Int-1GL ,6.5,6,
C604-Int-5GL ,18.5,18,
C605-Ext-1GL ,8.5,8,
C605-Ext-5GL ,30.5,29.5,
C701-Ext-1GL ,8.5,8,
C701-Ext-5GL ,30.5,29.5,
C702-Ext-1GL ,8.5,8,
C702-Ext-5GL ,30.5,29.5,
C801-Ext-1GL ,7.5,7,
C801-Ext-5GL ,25.5,24.5,
C801-Int-1GL ,6.5,6,
C801-Int-5GL ,18.5,18,
C802-Ext-1GL ,7.5,7,
C802-Ext-5GL ,25.5,24.5,
C802-Int-1GL ,6.5,6,
C802-Int-5GL ,18.5,18,
C803-Ext-1GL ,7.5,7,
C803-Ext-5GL ,25.5,24.5,
C803-Int-1GL ,6.5,6,
C803-Int-5GL ,18.5,18,
C804-Ext-1GL ,7.5,7,
C804-Ext-5GL ,25.5,24.5,
C804-Int-1GL ,6.5,6,
C804-Int-5GL ,18.5,18,
C805-Ext-1GL ,7.5,7,
C805-Ext-5GL ,25.5,24.5,
C805-Int-1GL ,6.5,6,
C805-Int-5GL ,18.5,18,
C806-Ext-1GL ,8.5,8,
C806-Ext-5GL ,30.5,29.5,
